"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"MNIST_BP","","8.279929399490356","finished","-","","","2024-05-03T20:24:03.000Z","28","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","1","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95955","0.11853834986686708","0.9504","0.15101847052574158","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","270.82571625709534","finished","-","","","2024-05-03T20:24:38.000Z","291","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","1","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.959","0.4618296921253204","0.9558","0.46957018971443176","0.52392578125","0.5044922232627869","0.506640613079071","0.520800769329071","0.9124999046325684","8.961159706115723","4.40022611618042","5.865288734436035","7.658411502838135","7.557009220123291","",""
"MNIST_DTP_linear_DTP","","166.75384283065796","finished","-","","","2024-05-03T20:29:38.000Z","188","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98065","0.07012036442756653","0.9684","0.1033037081360817","1","1","1","1","1","67.90093994140625","92.9544906616211","85.64112854003906","66.88426971435547","8.516632080078125","",""
"MNIST_DTP_linear_DRL","","202.6097810268402","finished","-","","","2024-05-03T20:32:55.000Z","223","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.90675","0.32443052530288696","0.9086","0.317149817943573","0.506054699420929","0.5013672113418579","0.49921876192092896","0.508593738079071","0.8999999165534973","0.029774466529488564","-0.0589156411588192","0.017401037737727165","0.1056647077202797","0.5431204438209534","",""
"MNIST_DTP_linear_L-DRL","","193.8094217777252","finished","-","","","2024-05-03T20:36:49.000Z","214","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9067833333333334","0.3243807554244995","0.9086","0.3171079456806183","0.5078125","0.5015625357627869","0.500195324420929","0.5093750357627869","0.8999999165534973","0.05101573467254639","-0.03383411094546318","0.044895146042108536","0.13462887704372406","0.5596952438354492","",""
"MNIST_classification_CCL","49.89925980567932","","finished","-","","","2024-05-03T20:37:18.000Z","71","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","0","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","classification","none","0","100","0","0","./yaml/linear_mnist_ccl.yaml","","","","","","","","","","","","","","","0.9373333333333334","0.20625457616647083"
"MNIST_classification_BP","43.77703475952149","","finished","-","","","2024-05-03T20:38:39.000Z","64","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","0","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","0.9586666666666668","0.13691509608427682"
"MNIST_classification_CCL","49.02817511558533","","finished","-","","","2024-05-03T20:39:50.000Z","69","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","1","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","classification","none","0","100","0","0","./yaml/linear_mnist_ccl.yaml","","","","","","","","","","","","","","","0.935","0.20818355840444563"
"CIFAR10_BP","","8.714659214019775","finished","-","","","2024-05-03T20:40:31.000Z","32","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","1","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36724","1.8222535848617551","0.3609","1.8304786682128904","","","","","","","","","","","",""
"MNIST_classification_BP","43.788256883621216","","finished","-","","","2024-05-03T20:41:07.000Z","63","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","1","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","0.9591666666666666","0.13493622198700905"
