"Name","dataset","algorithm","loss_feedback","test accuracy","Runtime","State","learning_rate","learning_rate_backward","train accuracy","seed","activation_function","epochs_backward","stepsize"
"MNIST_BP","MNIST","BP","DTP","0.9834","212","finished","0.1","0.001","1","2","tanh","5","0.04"
"MNIST_BP","MNIST","BP","DTP","0.9823","263","finished","0.1","0.001","1","4","tanh","5","0.04"
"MNIST_BP","MNIST","BP","DTP","0.982","291","finished","0.1","0.001","1","1","tanh","5","0.04"
"MNIST_BP","MNIST","BP","DTP","0.982","172","finished","0.1","0.001","1","3","tanh","5","0.04"
"MNIST_BP","MNIST","BP","DTP","0.9817","257","finished","0.1","0.001","1","5","tanh","5","0.04"
"MNIST_DTP_linear_DTP","MNIST","DTP","DTP","0.974","4338","finished","4","0.002","0.9999666666666668","5","","5","0.04"
"MNIST_DTP_linear_DTP","MNIST","DTP","DTP","0.9734","3449","finished","4","0.002","0.9999833333333332","3","","5","0.04"
"MNIST_DTP-BN_linear_DTP","MNIST","DTP-BN","DTP","0.973","9184","finished","4","0.002","0.9999666666666668","4","","5","0.04"
"MNIST_DTP_linear_DTP","MNIST","DTP","DTP","0.9728","2748","finished","4","0.002","0.9999833333333332","2","","5","0.04"
"MNIST_FWDTP-BN_linear-BN","MNIST","FWDTP-BN","DTP","0.9728","5446","finished","0.1","0.001","0.99555","2","","5","0.04"
"MNIST_DTP_linear_DTP","MNIST","DTP","DTP","0.9728","4059","finished","4","0.002","0.9999666666666668","4","","5","0.04"
"MNIST_FWDTP-BN_linear-BN","MNIST","FWDTP-BN","DTP","0.9727","7131","finished","0.1","0.001","0.9954333333333332","4","","5","0.04"
"MNIST_FWDTP-BN_linear-BN","MNIST","FWDTP-BN","DTP","0.9727","5449","finished","0.1","0.001","0.9956166666666668","3","","5","0.04"
"MNIST_FWDTP-BN_linear-BN","MNIST","FWDTP-BN","DTP","0.9725","5327","finished","0.1","0.001","0.9958333333333332","1","","5","0.04"
"MNIST_BP","MNIST","BP","DTP","0.9725","35","finished","0.1","0.001","0.9898666666666668","1","tanh","5","0.001"
"MNIST_BP","MNIST","BP","DTP","0.9725","35","finished","0.1","0.001","0.9898666666666668","1","tanh","5","0.001"
"MNIST_DTP_linear_DTP","MNIST","DTP","DTP","0.9724","1627","finished","4","0.002","1","1","","5","0.04"
"MNIST_DTP-BN_linear_DTP","MNIST","DTP-BN","DTP","0.9718","7388","finished","4","0.002","0.9999333333333332","2","","5","0.04"
"MNIST_DTP-BN_linear_DTP","MNIST","DTP-BN","DTP","0.9712","7149","finished","4","0.002","0.9998833333333332","3","","5","0.04"
"MNIST_DTP-BN_linear_DTP","MNIST","DTP-BN","DTP","0.9705","5304","finished","4","0.002","0.9999166666666668","1","","5","0.04"
"MNIST_FWDTP-BN_linear-BN","MNIST","FWDTP-BN","DTP","0.9695","8588","finished","0.1","0.001","0.9953166666666666","5","","5","0.04"
"MNIST_DTP-BN_linear_DTP","MNIST","DTP-BN","DTP","0.969","9951","finished","4","0.002","0.9999333333333332","5","","5","0.04"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9577","5416","finished","4","0.02","0.9726","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9478","5600","finished","4","0.0001","0.9544333333333334","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9466","4944","finished","4","0.0002","0.95315","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9432","4446","finished","4","0.0004","0.95035","1","","5","0.08"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9389","4402","finished","4","0.0008","0.9455666666666668","1","","5","0.08"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9388","5959","finished","4","0.0002","0.9399333333333332","5","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9377","4497","finished","4","0.001","0.9441","1","","5","0.08"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9348","3301","finished","4","0.0002","0.9377333333333332","2","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9341","5592","finished","4","0.0001","0.9384166666666668","1","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9336","4892","finished","4","0.0002","0.9377333333333332","1","","5","0.04"
"MNIST_DTP_linear_L-DRL","MNIST","DTP","L-DRL","0.9336","4587","finished","4","0.0002","0.9375666666666668","5","","5","0.04"
"MNIST_DTP_linear_DRL","MNIST","DTP","DRL","0.9332","6644","finished","4","0.0002","0.9371","5","","5","0.04"
