"Name","val_acc","test_acc","State","ID","Notes","User","Group","Job Type","Tags","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","Created","Runtime","GradC","act_B","act_F","architecture","batchsize","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_ssl","loss_scale_C","seed","bias_init","bw_bn","eta_min","filter_target","grad_clip_B","lr_B","mmt_B","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","yaml","best_epoch","test_loss","val_loss"
"CIFAR10_BP_none","0.8902","0.8324","finished","o5vgb3hp","-","","","","","2024-05-04T07:12:28.000Z","2024-05-04T07:12:28.000Z","","gadikota-compute-01.cee.cornell.edu","","73fcf4c11a5709a78243bbe2d536e89fd74a5be5","https://github.com/IandRover/CCL/tree/73fcf4c11a5709a78243bbe2d536e89fd74a5be5","","","2024-05-04T02:25:18.000Z","17230","1","elu","elu","cnn_pool","32","0","CIFAR10","100","0","0","0.03","BP","0.5","0.00001","0.5","0.5","1","zero","0","0.001","0","0","0.03","0.5","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","23","0.5536081272482872","0.6746075179636478"
"CIFAR10_BP_none","0.8898","0.8493","finished","xe2puj07","-","","","","","2024-05-03T17:18:56.000Z","2024-05-03T17:18:56.000Z","","sablab-gpu-03.ece.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX 1080 Ti","2024-05-03T16:30:39.000Z","2897","1","elu","elu","cnn_pool","64","0","CIFAR10","100","0","3","0.03","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","3","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","46","0.5486397953987121","0.6372238302230835"
"CIFAR10_BP_none","0.8878","0.8692","finished","76x93eyj","-","","","","","2024-05-03T07:22:28.000Z","2024-05-03T07:22:28.000Z","","tripods-compute-02.cs.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX 1080 Ti","2024-05-03T06:46:02.000Z","2186","1","elu","elu","cnn_pool","128","0","CIFAR10","100","0","0","0.03","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","0","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","48","0.5540449067115784","0.6518579038083553"
"CIFAR10_BP_none","0.887","0.8504","finished","z37h2ygj","-","","","","","2024-05-05T02:37:46.000Z","2024-05-05T02:37:46.000Z","","lecun.cs.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 2080 Ti","2024-05-05T02:00:27.000Z","2239","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","0.5","3","zero","0","0.001","0","0","0.01","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","21","0.5037471537351609","0.5974922055244446"
"CIFAR10_BP_none","0.8866","0.8405","finished","i0vdi0wa","-","","","","","2024-05-03T06:21:49.000Z","2024-05-03T06:21:49.000Z","","sablab-gpu-03.ece.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX 1080 Ti","2024-05-03T05:37:47.000Z","2642","1","elu","elu","cnn_pool","64","0","CIFAR10","100","0","0","0.01","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","0","0.01","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","16","0.4994994307756424","0.7181681144175119"
"CIFAR10_BP_none","0.8858","0.8485","finished","k5u8ywla","-","","","","","2024-05-05T07:32:57.000Z","2024-05-05T07:32:57.000Z","","lecun.cs.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 2080 Ti","2024-05-05T06:55:07.000Z","2270","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","0.5","2","zero","0","0.001","0","1","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","20","0.49028419749736785","0.5936843011856079"
"CIFAR10_BP_none","0.8848","0.869","finished","gtjdh5wn","-","","","","","2024-05-04T02:25:09.000Z","2024-05-04T02:25:09.000Z","","gadikota-compute-01.cee.cornell.edu","","a275726cdc0afeb977d404cc1d015a88004317ff","https://github.com/IandRover/CCL/tree/a275726cdc0afeb977d404cc1d015a88004317ff","","","2024-05-03T19:41:46.000Z","24203","1","elu","elu","cnn_pool","32","0","CIFAR10","100","0","0","0.01","BP","0.9","0.00001","0.5","0.5","1","zero","0","0.001","0","0","0.01","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","58","0.5500679188549519","0.6860226275120862"
"CIFAR10_BP_none","0.8836","0.861","finished","kbp44pzv","-","","","","","2024-05-05T06:41:16.000Z","2024-05-05T06:41:16.000Z","","campbell-compute-01.mae.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 3090","2024-05-05T06:09:21.000Z","1915","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","0.5","4","zero","0","0.001","0","1","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","30","0.49530144648551944","0.5964115627765656"
"CIFAR10_BP_none","0.883","0.8545","finished","8ibdixh0","-","","","","","2024-05-05T02:25:48.000Z","2024-05-05T02:25:48.000Z","","campbell-compute-01.mae.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 3090","2024-05-05T01:54:38.000Z","1870","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","0.5","4","zero","0","0.001","0","0","0.01","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","27","0.5084516171455383","0.5674714910507203"
"CIFAR10_BP_none","0.8828","0.8581","finished","ltu4kybt","-","","","","","2024-05-03T18:00:06.000Z","2024-05-03T18:00:06.000Z","","nikola-compute-02.cs.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX TITAN X","2024-05-03T17:06:38.000Z","3208","1","elu","elu","cnn_pool","128","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","","0.5","0","zero","0","0.001","0","3","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","36","0.5658205092906952","0.6252566244125366"
"CIFAR10_BP_none","0.8822","0.8345","finished","e84rno22","-","","","","","2024-05-03T10:35:09.000Z","2024-05-03T10:35:09.000Z","","dgx2-compute-02.coecis.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","Tesla V100-SXM3-32GB-H","2024-05-03T10:00:34.000Z","2075","1","elu","elu","cnn_pool","32","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","1","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","15","0.5330512275218964","0.6714742117021233"
"CIFAR10_BP_none","0.8822","0.8371","finished","qpysx5n1","-","","","","","2024-05-03T07:50:28.000Z","2024-05-03T07:50:28.000Z","","nikola-compute-02.cs.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX TITAN X","2024-05-03T07:06:49.000Z","2619","1","elu","elu","cnn_pool","128","0","CIFAR10","100","1","0","0.03","BP","0.9","0.00001","","0.5","0","zero","0","0.001","0","0","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","15","0.5290855474948883","0.5852560801923276"
"CIFAR10_BP_none","0.8822","0.84","finished","upjdcru5","-","","","","","2024-05-03T14:06:01.000Z","2024-05-03T14:06:01.000Z","","sablab-gpu-03.ece.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX 1080 Ti","2024-05-03T13:17:32.000Z","2909","1","elu","elu","cnn_pool","64","0","CIFAR10","100","0","1","0.05","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","1","0.05","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","25","0.5585306789398193","0.862718883043807"
"CIFAR10_BP_none","0.8818","0.8634","finished","fefp5snf","-","","","","","2024-05-05T12:06:26.000Z","2024-05-05T12:06:26.000Z","","lecun.cs.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 2080 Ti","2024-05-05T11:29:43.000Z","2203","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","3","0.05","BP","0.5","0.00001","0.5","0.5","3","zero","0","0.001","0","3","0.05","0.5","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","30","0.4985989944934845","0.5168435305833816"
"CIFAR10_BP_none","0.8816","0.8822","finished","5gf86ci6","-","","","","","2024-05-05T09:21:35.000Z","2024-05-05T09:21:35.000Z","","campbell-compute-01.mae.cornell.edu","","536ddc178b97e5ce41f1a9a533b847d4fbfdf351","https://github.com/IandRover/CCL/tree/536ddc178b97e5ce41f1a9a533b847d4fbfdf351","1","NVIDIA GeForce RTX 3090","2024-05-05T08:49:38.000Z","1917","1","elu","elu","cnn_pool","64","0","CIFAR10","100","1","3","0.03","BP","0.5","0.00001","0.5","0.5","4","zero","0","0.001","0","3","0.03","0.5","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","99","0.47904406055212023","0.4656420417785645"
"CIFAR10_BP_none","0.8816","0.8538","finished","ix1r1nbw","-","","","","","2024-05-03T13:28:47.000Z","2024-05-03T13:28:47.000Z","","dgx2-compute-02.coecis.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","Tesla V100-SXM3-32GB-H","2024-05-03T12:54:20.000Z","2067","1","elu","elu","cnn_pool","32","0","CIFAR10","100","1","3","0.03","BP","0.5","0.00001","","0.5","1","zero","0","0.001","0","3","0.03","0.5","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","21","0.47837737938165664","0.5703603282570839"
"CIFAR10_BP_none","0.8814","0.8412","finished","v53n2mlx","-","","","","","2024-05-03T15:29:53.000Z","2024-05-03T15:29:53.000Z","","tripods-compute-02.cs.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce GTX 1080 Ti","2024-05-03T14:49:02.000Z","2451","1","elu","elu","cnn_pool","128","0","CIFAR10","100","0","3","0.03","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","3","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","27","0.5919098099708557","0.7619760023963638"
"CIFAR10_BP_none","0.8814","0.8577","finished","mmldh82p","-","","","","","2024-05-03T10:23:03.000Z","2024-05-03T10:23:03.000Z","","bhattacharjee-compute-01.cs.cornell.edu","","28b12792776f85e2121e0fd258b051fe5dd58791","https://github.com/IandRover/CCL/tree/28b12792776f85e2121e0fd258b051fe5dd58791","1","NVIDIA GeForce RTX 3090","2024-05-03T09:49:53.000Z","1990","1","elu","elu","cnn_pool","128","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","","0.5","1","zero","0","0.001","0","1","0.03","0.9","train","3","SGD","classification","none","100","200","0","./yaml/cnn/cifar10_bp_pool.yaml","23","0.4652916939258576","0.49815491643697024"
