"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_BP_none","0.8902","0.8324","finished","2024-05-04T07:12:28.000Z","2024-05-04T07:12:28.000Z","2024-05-04T02:25:18.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","0","0.03","BP","0.5","0.00001","0.5","1","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5536081272482872","0.6746075179636478"
"CIFAR10_BP_none","0.8898","0.8493","finished","2024-05-03T17:18:56.000Z","2024-05-03T17:18:56.000Z","2024-05-03T16:30:39.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","3","0.03","BP","0.9","0.00001","0.5","1","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5486397953987121","0.6372238302230835"
"CIFAR10_BP_none","0.8878","0.8692","finished","2024-05-03T07:22:28.000Z","2024-05-03T07:22:28.000Z","2024-05-03T06:46:02.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","0","0.03","BP","0.9","0.00001","0.5","1","0","0","0","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5540449067115784","0.6518579038083553"
"CIFAR10_BP_none","0.887","0.8504","finished","2024-05-05T02:37:46.000Z","2024-05-05T02:37:46.000Z","2024-05-05T02:00:27.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","3","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5037471537351609","0.5974922055244446"
"CIFAR10_BP_none","0.8866","0.8405","finished","2024-05-03T06:21:49.000Z","2024-05-03T06:21:49.000Z","2024-05-03T05:37:47.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","0","0.01","BP","0.9","0.00001","0.5","1","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4994994307756424","0.7181681144175119"
"CIFAR10_BP_none","0.8858","0.8485","finished","2024-05-05T07:32:57.000Z","2024-05-05T07:32:57.000Z","2024-05-05T06:55:07.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","2","0","0","1","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.49028419749736785","0.5936843011856079"
"CIFAR10_BP_none","0.8848","0.869","finished","2024-05-04T02:25:09.000Z","2024-05-04T02:25:09.000Z","2024-05-03T19:41:46.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","0","0.01","BP","0.9","0.00001","0.5","1","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5500679188549519","0.6860226275120862"
"CIFAR10_BP_none","0.8836","0.861","finished","2024-05-05T06:41:16.000Z","2024-05-05T06:41:16.000Z","2024-05-05T06:09:21.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","4","0","0","1","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.49530144648551944","0.5964115627765656"
"CIFAR10_BP_none","0.883","0.8545","finished","2024-05-05T02:25:48.000Z","2024-05-05T02:25:48.000Z","2024-05-05T01:54:38.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.01","BP","0.9","0.00001","0.5","4","0","0","0","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5084516171455383","0.5674714910507203"
"CIFAR10_BP_none","0.8828","0.8581","finished","2024-05-03T18:00:06.000Z","2024-05-03T18:00:06.000Z","2024-05-03T17:06:38.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","0","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5658205092906952","0.6252566244125366"
