"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_CCL_none","0.824","0.8316","finished","2024-05-03T20:28:00.000Z","2024-05-03T20:28:00.000Z","2024-05-03T18:49:37.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.8","0.000001","1","1","0","0.2","0.3","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5535027044296265","0.5790644722938537"
"CIFAR10_CCL_none","0.8234","0.831","finished","2024-05-03T13:23:39.000Z","2024-05-03T13:23:39.000Z","2024-05-03T12:21:06.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.8","0.000001","1","0","0","0.2","0.3","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5471755951881409","0.5783964877128601"
"CIFAR10_CCL_none","0.823","0.8304","finished","2024-05-03T20:00:45.000Z","2024-05-03T20:00:45.000Z","2024-05-03T18:58:21.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.8","0.000001","1","1","0","0.2","1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5478558975219726","0.5891743688583374"
"CIFAR10_CCL_none","0.8228","0.8261","finished","2024-05-03T11:37:21.000Z","2024-05-03T11:37:21.000Z","2024-05-03T10:24:58.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.8","0.000001","1","0","0","0.2","0.1","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5470780369997025","0.5693985881328583"
"CIFAR10_CCL_none","0.8208","0.8248","finished","2024-05-03T07:57:38.000Z","2024-05-03T07:57:38.000Z","2024-05-03T06:51:53.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.2","0.000001","1","1","0","0.2","0.1","1.5","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5432112337112427","0.5662094060897828"
"CIFAR10_CCL_none","0.8208","0.8233","finished","2024-05-03T06:51:42.000Z","2024-05-03T06:51:42.000Z","2024-05-03T05:45:25.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.8","0.000001","1","1","0","0.2","0.1","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5622089098215103","0.5706956212997436"
"CIFAR10_CCL_none","0.82","0.8296","finished","2024-05-03T19:41:18.000Z","2024-05-03T19:41:18.000Z","2024-05-03T18:41:03.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.8","0.000001","1","0","0","0.2","1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5688279912948608","0.590479271888733"
"CIFAR10_CCL_none","0.8188","0.8264","finished","2024-05-03T16:07:08.000Z","2024-05-03T16:07:08.000Z","2024-05-03T15:11:07.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.2","0.000001","1","0","0","0.2","0.3","1.5","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5234243103504181","0.5551502752304077"
"CIFAR10_CCL_none","0.8188","0.8243","finished","2024-05-03T16:34:20.000Z","2024-05-03T16:34:20.000Z","2024-05-03T15:31:06.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","0.5","CCL","0.8","0.000001","1","0","0","0.2","1","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.539169492650032","0.5638701308727264"
"CIFAR10_CCL_none","0.8184","0.8339","finished","2024-05-03T18:20:55.000Z","2024-05-03T18:20:55.000Z","2024-05-03T17:22:29.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.8","0.000001","1","1","0","0.2","0.3","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5489557935714722","0.5928485628277064"
"CIFAR10_CCL_none","0.8172","0.832","finished","2024-05-03T10:47:23.000Z","2024-05-03T10:47:23.000Z","2024-05-03T09:10:32.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.8","0.000001","1","1","0","0.2","0.1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5401591382741928","0.5748444709777832"
"CIFAR10_CCL_none","0.817","0.8277","finished","2024-05-03T12:25:39.000Z","2024-05-03T12:25:39.000Z","2024-05-03T11:16:45.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.2","0.000001","1","0","0","0.2","0.3","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5413806790351867","0.589331173992157"
"CIFAR10_CCL_none","0.8164","0.8214","finished","2024-05-03T09:24:46.000Z","2024-05-03T09:24:46.000Z","2024-05-03T08:26:14.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.8","0.000001","1","0","0","0.2","0.1","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5568899877548218","0.5708040127515793"
"CIFAR10_CCL_none","0.8162","0.8171","finished","2024-05-03T08:26:03.000Z","2024-05-03T08:26:03.000Z","2024-05-03T07:27:20.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.5","0.000001","1","0","0","0.2","0.1","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5429345841407776","0.5489126303136349"
"CIFAR10_CCL_none","0.816","0.8283","finished","2024-05-03T19:24:54.000Z","2024-05-03T19:24:54.000Z","2024-05-03T18:15:12.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.2","0.000001","1","0","0","0.2","1","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5322137366175651","0.5851965916514397"
"CIFAR10_CCL_none","0.816","0.8262","finished","2024-05-03T17:04:57.000Z","2024-05-03T17:04:57.000Z","2024-05-03T15:55:24.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","0.5","CCL","0.5","0.000001","1","0","0","0.2","1","0.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5382129203557968","0.5736713515758515"
"CIFAR10_CCL_none","0.816","0.8197","finished","2024-05-03T15:17:16.000Z","2024-05-03T15:17:16.000Z","2024-05-03T14:04:12.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.3","CCL","0.8","0.000001","1","0","0","0.2","0.3","0.3","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5516374779462815","0.5726732447624207"
