"Name","val_acc","test_acc","State","Notes","User","Tags","Created","Runtime","Sweep","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","dataset","epochs","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","seed","wd_B","wd_F","yaml","val_loss","best_epoch","test_loss"
"FashionMNIST_classification_CCL","0.8921666666666667","","running","-","","","2024-05-06T04:45:37.000Z","1230","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","1.5","1.5","CCL","0","0","train","1","SGD","4","0","0","./yaml/mlp/fmnist_ccl.yaml","0.31785959418614707","",""
"MNIST_classification_CCL","0.9756666666666668","","running","-","","","2024-05-06T04:56:05.000Z","600","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1.5","1.5","CCL","0","0","train","1","SGD","4","0","0","./yaml/mlp/mnist_ccl.yaml","0.08889606235424677","",""
"FashionMNIST_classification_CCL","0.8868333333333334","","running","-","","","2024-05-06T04:56:29.000Z","570","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","1.5","1.5","CCL","0","0","train","1","SGD","5","0","0","./yaml/mlp/fmnist_ccl.yaml","0.3223654878139496","",""
"CIFAR100_classification_CCL","0.062","","running","-","","","2024-05-06T04:45:19.000Z","1243","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","1","2","2","CCL","0","0","train","3","SGD","5","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.220557353210449","",""
"MNIST_classification_CCL","0.9743333333333334","","running","-","","","2024-05-06T04:56:29.000Z","570","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1.5","1.5","CCL","0","0","train","1","SGD","5","0","0","./yaml/mlp/mnist_ccl.yaml","0.0921622925500075","",""
"CIFAR10_classification_CCL","0.5234","0.5173","finished","-","","","2024-05-05T01:37:57.000Z","1083","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","0.5","0.5","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4092272409439086","84","1.402692877960205"
"CIFAR10_classification_CCL","0.5158","0.5307","finished","-","","","2024-05-05T00:32:50.000Z","1231","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","2","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4779986307144164","87","1.3962610332489014"
"MNIST_classification_CCL","0.9821666666666666","0.9811","finished","-","","","2024-05-05T01:28:21.000Z","1146","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","1","SGD","2","0","0","./yaml/mlp/mnist_ccl.yaml","0.07325162782271703","99","0.07007324091792107"
"CIFAR10_classification_CCL","0.5118","0.5124","finished","-","","","2024-05-04T23:36:13.000Z","888","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","1","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4033869369506835","95","1.3924533926010132"
"FashionMNIST_classification_CCL","0.8846666666666667","0.8729","finished","-","","","2024-05-06T01:04:00.000Z","1530","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","0.5","0.5","CCL","0","0","train","1","SGD","5","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.33559405827522276","98","0.3715201267242432"
