"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"FashionMNIST_BP","0.101","0.101","finished","191","tanh","false","BP","256","FashionMNIST","100","linear","0.4","DTP","2","-1","0.01","0.04","","216076304","0.10045"
"MNIST_DTP_linear_DTP","0.9714","0.9714","finished","4880","","false","DTP","256","MNIST","100","linear","4","DTP","1","-1","0.01","0.04","","0.15482701361179352","1"
"CIFAR10_BP","0.4755","0.4755","finished","254","tanh","false","BP","256","CIFAR10","100","linear","0.01","DTP","2","-1","0.01","0.01","","1.9165767431259155","0.9795"
"CIFAR10_FWDTP-BN_linear-BN","0.4627","0.4627","finished","741","","false","FWDTP-BN","256","CIFAR10","100","linear-BN","0.02","DTP","1","-1","0.01","0.01","3","1.6483430862426758","0.703"
"CIFAR100_DTP_linear_DRL","0.1993","0.1993","finished","1370","","false","DTP","256","CIFAR100","100","linear","0.8","DRL","4","-1","0.01","0.02","3","3.5997226238250732","0.28458"
"FashionMNIST_DTP_linear_DRL","0.8372","0.8372","finished","1569","","false","DTP","256","FashionMNIST","100","linear","4","DRL","2","-1","0.01","0.008","3","0.4643043875694275","0.8537"
"CIFAR100_DTP_linear_L-DRL","0.1964","0.1964","finished","1449","","false","DTP","256","CIFAR100","100","linear","2","L-DRL","2","-1","0.01","0.008","3","3.603936672210694","0.28556"
"FashionMNIST_FWDTP-BN_linear-BN","0.8795","0.8795","finished","626","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","1","-1","0.01","0.004","3","0.5924097299575806","0.9649333333333332"
"FashionMNIST_FWDTP-BN_linear-BN","0.8757","0.8757","finished","630","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","2","-1","0.01","0.004","3","0.6132044792175293","0.9633666666666668"
"CIFAR10_FWDTP-BN_linear-BN","0.4606","0.4606","finished","22080","","false","FWDTP-BN","256","CIFAR10","100","linear-BN","0.02","DTP","1","-1","0.01","0.01","","1.6507378816604614","0.70454"
"FashionMNIST_DTP_linear_DTP","0.883","0.883","finished","820","","false","DTP","256","FashionMNIST","100","linear","1","DTP","4","-1","0.01","0.04","3","0.39315539598464966","0.95625"
"FashionMNIST_BP","0.8963","0.8963","finished","203","tanh","false","BP","256","FashionMNIST","100","linear","0.1","DTP","5","-1","0.01","0.04","","0.5156112313270569","1"
"CIFAR100_BP","0.2258","0.2258","finished","160","tanh","false","BP","256","CIFAR100","100","linear","0.004","DTP","1","-1","0.01","0.01","","3.4564967155456543","0.35666"
"FashionMNIST_BP","0.8866","0.8866","finished","189","tanh","false","BP","256","FashionMNIST","100","linear","0.02","DTP","2","-1","0.01","0.01","","0.401606559753418","0.9694666666666668"
"CIFAR100_DTP_linear_DTP","0.2084","0.2084","finished","1214","","false","DTP","256","CIFAR100","100","linear","1","DTP","2","-1","0.01","0.01","3","4.011419296264648","0.6019"
"CIFAR100_DTP_linear_DRL","0.1956","0.1956","finished","1380","","false","DTP","256","CIFAR100","100","linear","0.8","DRL","2","-1","0.01","0.02","3","3.6050171852111816","0.28516"
"FashionMNIST_BP","0.897","0.897","finished","196","tanh","false","BP","256","FashionMNIST","100","linear","0.2","DTP","2","-1","0.01","0.04","","0.6134800910949707","1"
"CIFAR10_BP","0.4897","0.4897","finished","222","tanh","false","BP","256","CIFAR10","100","linear","0.15","DTP","2","-1","0.01","0.01","","2.6124861240386963","1"
"CIFAR10_BP","0.4483","0.4483","finished","251","tanh","false","BP","256","CIFAR10","100","linear","0.001","DTP","1","-1","0.01","0.01","","1.629638433456421","0.50048"
"CIFAR10_DTP_linear_DTP","0.4162","0.4162","finished","1126","","false","DTP","256","CIFAR10","100","linear","4","DTP","2","-1","0.01","0.002","3","2.1806793212890625","0.78208"
"MNIST_DTP_linear_L-DRL","0.9339","0.9339","finished","1145","","false","DTP","256","MNIST","100","linear","4","L-DRL","4","-1","0.01","0.04","3","0.2249506264925003","0.9406666666666668"
"CIFAR100_DTP_linear_L-DRL","0.1997","0.1997","finished","1468","","false","DTP","256","CIFAR100","100","linear","2","L-DRL","5","-1","0.01","0.008","3","3.604694366455078","0.28562"
"MNIST_DTP_linear_DRL","0.9271","0.9271","finished","1464","","false","DTP","256","MNIST","100","linear","4","DRL","3","-1","0.01","0.04","3","0.24390846490859985","0.9343666666666668"
"CIFAR10_BP","0.4804","0.4804","finished","255","tanh","false","BP","256","CIFAR10","100","linear","0.02","DTP","1","-1","0.01","0.01","","2.257570505142212","0.9998"
"CIFAR10_DTP_linear_DTP","0.4159","0.4159","finished","21192","","false","DTP","256","CIFAR10","100","linear","4","DTP","1","-1","0.01","0.002","","2.192007303237915","0.7864"
"FashionMNIST_DTP_linear_DRL","0.8323","0.8323","finished","1531","","false","DTP","256","FashionMNIST","100","linear","4","DRL","1","-1","0.01","0.008","3","0.46252283453941345","0.8516166666666667"
"MNIST_DTP_linear_DTP","0.9734","0.9734","finished","4945","","false","DTP","256","MNIST","100","linear","4","DTP","4","-1","0.01","0.04","","0.1430099904537201","1"
"MNIST_DTP_linear_L-DRL","0.9357","0.9357","finished","4558","","false","DTP","256","MNIST","100","linear","4","L-DRL","1","-1","0.01","0.04","","0.22325292229652405","0.9400166666666666"
"FashionMNIST_BP","0.1022","0.1022","finished","193","tanh","false","BP","256","FashionMNIST","100","linear","0.4","DTP","1","-1","0.01","0.04","","763051.0625","0.10156666666666668"
"CIFAR10_BP","0.4916","0.4916","finished","223","tanh","false","BP","256","CIFAR10","100","linear","0.15","DTP","3","-1","0.01","0.01","","2.6024081707000732","1"
"CIFAR10_DTP_linear_DRL","0.4236","0.4236","finished","14331","","false","DTP","256","CIFAR10","100","linear","2","DRL","1","-1","0.01","0.008","","1.7008596658706665","0.47218"
"CIFAR100_DTP_linear_L-DRL","0.1961","0.1961","finished","13835","","false","DTP","256","CIFAR100","100","linear","2","L-DRL","2","-1","0.01","0.008","","3.603935480117798","0.2852"
"FashionMNIST_FWDTP-BN_linear-BN","0.8807","0.8807","finished","6484","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","5","-1","0.01","0.004","","0.600153386592865","0.96105"
"CIFAR10_BP","0.4954","0.4954","finished","223","tanh","false","BP","256","CIFAR10","100","linear","0.08","DTP","4","-1","0.01","0.01","","2.391317844390869","1"
"CIFAR100_BP","0.226","0.226","finished","173","tanh","false","BP","256","CIFAR100","100","linear","0.004","DTP","2","-1","0.01","0.01","","3.4582886695861816","0.35596"
"MNIST_DTP_linear_L-DRL","0.9337","0.9337","finished","4369","","false","DTP","256","MNIST","100","linear","4","L-DRL","4","-1","0.01","0.04","","0.22403556108474731","0.9404833333333332"
"MNIST_DTP_linear_L-DRL","0.9325","0.9325","finished","4454","","false","DTP","256","MNIST","100","linear","4","L-DRL","5","-1","0.01","0.04","","0.23198534548282623","0.9375166666666668"
"FashionMNIST_BP","0.897","0.897","finished","204","tanh","false","BP","256","FashionMNIST","100","linear","0.2","DTP","5","-1","0.01","0.04","","0.6007702946662903","1"
"CIFAR10_BP","0.1112","0.1112","finished","221","tanh","false","BP","256","CIFAR10","100","linear","0.2","DTP","5","-1","0.01","0.01","","181028576559104","0.10518"
