"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"MNIST_BP","","10.094726085662842","finished","-","","","2024-05-04T01:21:49.000Z","36","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","1","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9739333333333332","0.0842122882604599","0.9616","0.12086121737957","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","32.92917275428772","finished","-","","","2024-05-04T01:22:34.000Z","56","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","1","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_BP","","10.5177583694458","finished","-","","","2024-05-04T01:22:40.000Z","40","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","2","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97865","0.07162036001682281","0.9662","0.10137267410755156","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","53.119120359420776","finished","-","","","2024-05-04T01:23:30.000Z","83","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","2","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","60.291118144989014","finished","-","","","2024-05-04T01:23:40.000Z","79","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","85.89835000038147","finished","-","","","2024-05-04T01:25:04.000Z","116","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","110.50252938270567","finished","-","","","2024-05-04T01:25:07.000Z","129","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","191.09354186058044","finished","-","","","2024-05-04T01:27:10.000Z","219","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","93.76195335388184","finished","-","","","2024-05-04T01:27:27.000Z","114","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_BP","","9.581051349639893","finished","-","","","2024-05-04T01:28:18.000Z","33","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","3","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9724166666666668","0.08844992518424988","0.9619","0.12287587672472","","","","","","","","","","","",""
