"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"MNIST_classification_CCL","63.63396835327149","","finished","-","","","2024-05-04T03:25:54.000Z","87","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","7","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","classification","none","0","100","0","0","./yaml/linear_mnist_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_classification_BP","48.77518081665039","","finished","-","","","2024-05-04T03:27:11.000Z","64","","","","","","","","","","","","CIFAR10","","","5","","","","","","","","","","","","","","","","","6","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar10_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_BP","","9.303463697433472","finished","-","","","2024-05-04T07:10:55.000Z","34","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","5","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37322","1.8163148164749143","0.3747","1.8217180967330933","","","","","","","","","","","",""
"MNIST_BP","","12.318709135055542","finished","-","","","2024-05-04T06:59:15.000Z","42","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","7","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9787666666666668","0.07162608951330185","0.9684","0.1022571325302124","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","23.185039281845093","finished","-","","","2024-05-04T07:11:37.000Z","46","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","3","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","52.78675961494446","finished","-","","","2024-05-04T06:49:07.000Z","79","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","9","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_CCL","51.02140402793884","","finished","-","","","2024-05-04T03:34:59.000Z","66","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","10","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar100_ccl.yaml","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","36.3420090675354","finished","-","","","2024-05-04T06:22:05.000Z","59","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","10","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_CCL","109.04515790939332","","finished","-","","","2024-05-04T03:34:08.000Z","132","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","7","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar100_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_classification_BP","110.36821985244752","","finished","-","","","2024-05-04T03:28:46.000Z","135","","","","","","","","","","","","CIFAR10","","","5","","","","","","","","","","","","","","","","","1","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar10_bp.yaml","","","","","","","","","","","","","","","",""
